Airport code,City,State,Airport name ,data source id,ranking,,,,,Airport used 
ABR,Aberdeen, SD, Aberdeen Regional (ABR),1,,FALSE,FALSE,'ABR',0,FALSE
ABI,Abilene, TX, Abilene Regional (ABI),2,,FALSE,FALSE,'ABI',0,FALSE
ADK,Adak Island, AK, Adak (ADK),3,,FALSE,FALSE,'ADK',0,FALSE
BQN,Aguadilla, PR, Rafael Hernandez (BQN),4,,FALSE,FALSE,'BQN',0,FALSE
CAK,Akron, OH, Akron-Canton Regional (CAK),5,,FALSE,FALSE,'CAK',0,FALSE
ALS,Alamosa, CO, San Luis Valley Regional/Bergman Field (ALS),6,,FALSE,FALSE,'ALS',0,FALSE
ABY,Albany, GA, Southwest Georgia Regional (ABY),7,,FALSE,FALSE,'ABY',0,FALSE
ALB,Albany, NY, Albany International (ALB),8,,FALSE,FALSE,'ALB',0,FALSE
ABQ,Albuquerque, NM, Albuquerque International Sunport (ABQ),9,2,FALSE,9,'ABQ',1,ABQ
AEX,Alexandria, LA, Alexandria International (AEX),10,,FALSE,FALSE,'AEX',0,FALSE
ABE,Allentown/Bethlehem/Easton, PA, Lehigh Valley International (ABE),11,,FALSE,FALSE,'ABE',0,FALSE
APN,Alpena, MI, Alpena County Regional (APN),12,,FALSE,FALSE,'APN',0,FALSE
AMA,Amarillo, TX, Rick Husband Amarillo International (AMA),13,,FALSE,FALSE,'AMA',0,FALSE
ACY,Atlantic City, NJ, Atlantic City International (ACY),14,2,FALSE,14,'ACY',1,ACY
ANI,Aniak, AK, Aniak Airport (ANI),15,,FALSE,FALSE,'ANI',0,FALSE
ATW,Appleton, WI, Appleton International (ATW),16,,FALSE,FALSE,'ATW',0,FALSE
ACV,Arcata/Eureka, CA, California Redwood Coast Humboldt County (ACV),17,,FALSE,FALSE,'ACV',0,FALSE
ANC,Anchorage, AK, Ted Stevens Anchorage International (ANC),18,2,FALSE,18,'ANC',1,ANC
HTS,Ashland, WV, Tri-State/Milton J. Ferguson Field (HTS),19,,FALSE,FALSE,'HTS',0,FALSE
ASE,Aspen, CO, Aspen Pitkin County Sardy Field (ASE),20,,FALSE,FALSE,'ASE',0,FALSE
ATL,Atlanta, GA, Hartsfield-Jackson Atlanta International (ATL),21,1,21,FALSE,'ATL',1,ATL
AGS,Augusta, GA, Augusta Regional at Bush Field (AGS),#REF!,,FALSE,FALSE,'AGS',0,FALSE
AUS,Austin, TX, Robert Mueller Municipal (AUS),#REF!,2,FALSE,#REF!,'AUS',1,AUS
AVL,Asheville, NC, Asheville Regional (AVL),#REF!,2,FALSE,#REF!,'AVL',1,AVL
BFL,Bakersfield, CA, Meadows Field (BFL),#REF!,,FALSE,FALSE,'BFL',0,FALSE
AZA,Phoenix, AZ, Phoenix - Mesa Gateway (AZA),#REF!,1,#REF!,FALSE,'AZA',1,AZA
BGR,Bangor, ME, Bangor International (BGR),#REF!,,FALSE,FALSE,'BGR',0,FALSE
BRW,Barrow, AK, Wiley Post/Will Rogers Memorial (BRW),#REF!,,FALSE,FALSE,'BRW',0,FALSE
BDL,Hartford, CT, Bradley International (BDL),#REF!,1,#REF!,FALSE,'BDL',1,BDL
BPT,Beaumont/Port Arthur, TX, Jack Brooks Regional (BPT),#REF!,,FALSE,FALSE,'BPT',0,FALSE
BLV,Belleville, IL, Scott AFB/MidAmerica (BLV),#REF!,,FALSE,FALSE,'BLV',0,FALSE
BLI,Bellingham, WA, Bellingham International (BLI),#REF!,,FALSE,FALSE,'BLI',0,FALSE
BJI,Bemidji, MN, Bemidji Regional (BJI),#REF!,,FALSE,FALSE,'BJI',0,FALSE
RDM,Bend/Redmond, OR, Roberts Field (RDM),#REF!,,FALSE,FALSE,'RDM',0,FALSE
BET,Bethel, AK, Bethel Airport (BET),#REF!,,FALSE,FALSE,'BET',0,FALSE
BIL,Billings, MT, Billings Logan International (BIL),#REF!,,FALSE,FALSE,'BIL',0,FALSE
BGM,Binghamton, NY, Greater Binghamton/Edwin A. Link Field (BGM),#REF!,,FALSE,FALSE,'BGM',0,FALSE
BFI,Seattle, WA, Boeing Field/King County International (BFI),#REF!,1,#REF!,FALSE,'BFI',1,BFI
BHM,Birmingham, AL, Birmingham-Shuttlesworth International (BHM),#REF!,2,FALSE,#REF!,'BHM',1,BHM
BMI,Bloomington/Normal, IL, Central Il Regional Airport at Bloomington (BMI),#REF!,,FALSE,FALSE,'BMI',0,FALSE
BIS,Bismarck/Mandan, ND, Bismarck Municipal (BIS),#REF!,2,FALSE,#REF!,'BIS',1,BIS
BNA,Nashville, TN, Nashville International (BNA),#REF!,2,FALSE,#REF!,'BNA',1,BNA
BZN,Bozeman, MT, Bozeman Yellowstone International (BZN),#REF!,,FALSE,FALSE,'BZN',0,FALSE
BRD,Brainerd, MN, Brainerd Lakes Regional (BRD),#REF!,,FALSE,FALSE,'BRD',0,FALSE
BKG,Branson, MO, Branson Airport (BKG),#REF!,,FALSE,FALSE,'BKG',0,FALSE
TRI,Bristol/Johnson City/Kingsport, TN, Tri Cities (TRI),#REF!,,FALSE,FALSE,'TRI',0,FALSE
BRO,Brownsville, TX, Brownsville South Padre Island International (BRO),#REF!,,FALSE,FALSE,'BRO',0,FALSE
BQK,Brunswick, GA, Brunswick Golden Isles (BQK),#REF!,,FALSE,FALSE,'BQK',0,FALSE
BOI,Boise, ID, Boise Air Terminal (BOI),#REF!,2,FALSE,#REF!,'BOI',1,BOI
IFP,Bullhead City, AZ, Laughlin/Bullhead International (IFP),#REF!,,FALSE,FALSE,'IFP',0,FALSE
BUR,Burbank, CA, Bob Hope (BUR),#REF!,,FALSE,FALSE,'BUR',0,FALSE
BTV,Burlington, VT, Burlington International (BTV),#REF!,,FALSE,FALSE,'BTV',0,FALSE
BTM,Butte, MT, Bert Mooney (BTM),#REF!,,FALSE,FALSE,'BTM',0,FALSE
CGI,Cape Girardeau, MO, Cape Girardeau Regional (CGI),#REF!,,FALSE,FALSE,'CGI',0,FALSE
CLD,Carlsbad, CA, McClellan-Palomar (CLD),#REF!,,FALSE,FALSE,'CLD',0,FALSE
CPR,Casper, WY, Casper/Natrona County International (CPR),#REF!,,FALSE,FALSE,'CPR',0,FALSE
CDC,Cedar City, UT, Cedar City Regional (CDC),#REF!,,FALSE,FALSE,'CDC',0,FALSE
CID,Cedar Rapids/Iowa City, IA, The Eastern Iowa (CID),#REF!,,FALSE,FALSE,'CID',0,FALSE
CMI,Champaign/Urbana, IL, University of Illinois/Willard (CMI),#REF!,,FALSE,FALSE,'CMI',0,FALSE
BOS,Boston, MA, Logan International (BOS),#REF!,1,#REF!,FALSE,'BOS',1,BOS
CRW,Charleston/Dunbar, WV, Yeager (CRW),#REF!,,FALSE,FALSE,'CRW',0,FALSE
STT,Charlotte Amalie, VI, Cyril E King (STT),#REF!,,FALSE,FALSE,'STT',0,FALSE
BTR,Baton Rouge, LA, Baton Rouge Metropolitan/Ryan Field (BTR),#REF!,2,FALSE,#REF!,'BTR',1,BTR
BUF,Buffalo, NY, Buffalo Niagara International (BUF),#REF!,2,FALSE,#REF!,'BUF',1,BUF
CHA,Chattanooga, TN, Lovell Field (CHA),#REF!,,FALSE,FALSE,'CHA',0,FALSE
CYS,Cheyenne, WY, Cheyenne Regional/Jerry Olson Field (CYS),#REF!,,FALSE,FALSE,'CYS',0,FALSE
BWI,Baltimore, MD, Baltimore/Washington International Thurgood Marshall (BWI),#REF!,1,#REF!,FALSE,'BWI',1,BWI
CAE,Columbia, SC, Columbia Metropolitan (CAE),#REF!,2,FALSE,#REF!,'CAE',1,CAE
