,address,datetime,mint,maxt,temp,dew,humidity,heatindex,wspd,wgust,wdir,windchill,precip,precipcover,snowdepth,visibility,cloudcover,sealevelpressure,weathertype,latitude,longitude,resolvedAddress,name,info,conditions,airportName
0,"33.6367,-84.428101",01/01/2019,57.8,65.9,62.8,58.3,85.35,,6.9,,292.88,,0.14,29.17,0.0,8.3,71.7,1019.1,"Mist, Rain, Fog, Heavy Rain, Light Rain",33.6367,-84.428101,"33.6367,-84.428101","33.6367,-84.428101",,"Rain, Partially cloudy",ATL
1,"33.6367,-84.428101",01/02/2019,48.8,59.0,53.7,49.4,85.47,,9.1,,188.71,45.8,0.45,41.67,0.0,7.3,77.0,1020.9,"Mist, Rain, Fog, Heavy Rain, Light Rain",33.6367,-84.428101,"33.6367,-84.428101","33.6367,-84.428101",,"Rain, Overcast",ATL
2,"33.6367,-84.428101",01/03/2019,50.0,55.1,53.1,50.6,91.37,,13.8,,166.25,,0.23,50.0,0.0,2.8,88.5,1016.7,"Mist, Light Drizzle, Rain, Heavy Rain, Light Rain",33.6367,-84.428101,"33.6367,-84.428101","33.6367,-84.428101",,"Rain, Overcast",ATL
3,"33.6367,-84.428101",01/04/2019,45.0,65.9,55.1,49.2,81.49,,25.2,33.9,164.33,39.3,1.45,50.0,0.0,5.3,79.6,1008.9,"Mist, Light Drizzle, Rain, Fog, Heavy Rain, Light Rain",33.6367,-84.428101,"33.6367,-84.428101","33.6367,-84.428101",,"Rain, Overcast",ATL
4,"33.6367,-84.428101",01/05/2019,44.0,59.0,49.4,36.3,61.79,,20.7,33.3,295.38,36.8,0.0,0.0,0.0,9.9,36.4,1015.8,,33.6367,-84.428101,"33.6367,-84.428101","33.6367,-84.428101",,Partially cloudy,ATL
5,"33.6367,-84.428101",01/06/2019,43.1,69.2,54.5,38.2,56.65,,10.2,,313.83,38.3,0.0,0.0,0.0,9.9,19.5,1021.6,,33.6367,-84.428101,"33.6367,-84.428101","33.6367,-84.428101",,Clear,ATL
6,"33.6367,-84.428101",01/07/2019,44.9,68.0,55.9,41.2,59.65,,11.4,,105.21,43.6,0.0,0.0,0.0,9.9,56.0,1022.8,Mist,33.6367,-84.428101,"33.6367,-84.428101","33.6367,-84.428101",,Partially cloudy,ATL
7,"33.6367,-84.428101",01/08/2019,50.0,64.1,57.1,48.3,72.56,,12.7,18.2,240.21,,0.0,4.17,0.0,9.8,72.2,1019.9,"Mist, Light Rain",33.6367,-84.428101,"33.6367,-84.428101","33.6367,-84.428101",,Partially cloudy,ATL
8,"33.6367,-84.428101",01/09/2019,39.8,56.0,47.1,24.6,41.87,,21.9,34.4,314.17,31.0,0.0,0.0,0.0,9.9,8.7,1020.3,,33.6367,-84.428101,"33.6367,-84.428101","33.6367,-84.428101",,Clear,ATL
9,"33.6367,-84.428101",01/10/2019,29.9,44.9,36.9,19.2,49.06,,19.6,31.9,325.0,18.9,0.0,0.0,0.0,9.9,40.0,1022.2,,33.6367,-84.428101,"33.6367,-84.428101","33.6367,-84.428101",,Partially cloudy,ATL
10,"33.6367,-84.428101",01/11/2019,29.9,53.9,41.4,21.8,47.22,,9.1,,162.96,24.0,0.0,0.0,0.0,9.9,33.6,1024.9,,33.6367,-84.428101,"33.6367,-84.428101","33.6367,-84.428101",,Partially cloudy,ATL
11,"33.6367,-84.428101",01/12/2019,38.0,44.0,41.2,27.3,58.99,,17.2,23.0,98.75,28.7,0.29,25.0,0.0,8.9,88.9,1024.6,"Mist, Rain, Heavy Rain, Light Rain",33.6367,-84.428101,"33.6367,-84.428101","33.6367,-84.428101",,"Rain, Overcast",ATL
12,"33.6367,-84.428101",01/13/2019,35.1,47.9,41.0,37.4,87.3,,13.8,,185.92,27.1,0.33,16.67,0.0,5.6,92.8,1021.2,"Mist, Light Drizzle, Light Rain",33.6367,-84.428101,"33.6367,-84.428101","33.6367,-84.428101",,"Rain, Overcast",ATL
13,"33.6367,-84.428101",01/14/2019,39.8,46.1,43.6,36.4,75.78,,15.0,23.0,322.08,31.6,0.0,0.0,0.0,9.9,94.2,1024.0,Mist,33.6367,-84.428101,"33.6367,-84.428101","33.6367,-84.428101",,Overcast,ATL
14,"33.6367,-84.428101",01/15/2019,33.2,44.9,38.3,29.4,70.19,,13.8,23.0,312.5,25.6,0.0,0.0,0.0,9.9,73.3,1024.8,,33.6367,-84.428101,"33.6367,-84.428101","33.6367,-84.428101",,Partially cloudy,ATL
15,"33.6367,-84.428101",01/16/2019,29.9,53.0,39.6,29.9,70.31,,11.4,,318.79,22.2,0.0,0.0,0.0,8.3,40.6,1025.0,"Mist, Smoke Or Haze",33.6367,-84.428101,"33.6367,-84.428101","33.6367,-84.428101",,Partially cloudy,ATL
